Year,Frequency of observation,Reporting type,Series,Справочная зона (условная зона),Units,Value
2008,Annual,National,Growth rates of household expenditure or income per capita,Kyrgyzstan,Процент,152.427877
2009,Annual,National,Growth rates of household expenditure or income per capita,Kyrgyzstan,Процент,114.438249
2010,Annual,National,Growth rates of household expenditure or income per capita,Kyrgyzstan,Процент,106.183655
2011,Annual,National,Growth rates of household expenditure or income per capita,Kyrgyzstan,Процент,123.92718
2012,Annual,National,Growth rates of household expenditure or income per capita,Kyrgyzstan,Процент,108.95347
2013,Annual,National,Growth rates of household expenditure or income per capita,Kyrgyzstan,Процент,95.637392
2014,Annual,National,Growth rates of household expenditure or income per capita,Kyrgyzstan,Процент,123.673685
2015,Annual,National,Growth rates of household expenditure or income per capita,Kyrgyzstan,Процент,102.218165
2016,Annual,National,Growth rates of household expenditure or income per capita,Kyrgyzstan,Процент,106.196219
2017,Annual,National,Growth rates of household expenditure or income per capita,Kyrgyzstan,Процент,112.95454
2018,Annual,National,Growth rates of household expenditure or income per capita,Kyrgyzstan,Процент,109.961528
